Town,Year,Variable,Value
Bolton,1997,Major Employer 4,Bruedan Corporation
Bolton,1997,Major Employer 5,TCI Cable
Bolton,1997,Major Employer 6,
Bolton,1997,Major Employer 7,
Bolton,1997,Major Employer 8,
Bolton,1997,Major Employer 9,
Bolton,1997,Major Employer 10,
Bozrah,1997,Major Employer 1,United Parcel Service
Bozrah,1997,Major Employer 2,Kofkoff Egg Farm
Bozrah,1997,Major Employer 3,AGA Gas
Bozrah,1997,Major Employer 4,Gilman Bros.
Bozrah,1997,Major Employer 5,Gilman Corp.
Bozrah,1997,Major Employer 6,
Bozrah,1997,Major Employer 7,
Bozrah,1997,Major Employer 8,
Bozrah,1997,Major Employer 9,
Bozrah,1997,Major Employer 10,
Branford,1997,Major Employer 1,"Echlin, Inc"
Branford,1997,Major Employer 2,Automotive Controls Corp.
Branford,1997,Major Employer 3,Seton Name Plate
Branford,1997,Major Employer 4,Sandvick Milford Corp.
Branford,1997,Major Employer 5,CT Hospice Institute
Branford,1997,Major Employer 6,Lester Telemarketing
Branford,1997,Major Employer 7,Turbine Components
Branford,1997,Major Employer 8,Vine Blakeslee Prestress Inc.
Branford,1997,Major Employer 9,Diagnostic Medical Laboratories
Branford,1997,Major Employer 10,Town of Banford
Bridgeport,1997,Major Employer 1,People's Bank
Bridgeport,1997,Major Employer 2,Bordine Corporation
Bridgeport,1997,Major Employer 3,St. Vincents Medical Center
Bridgeport,1997,Major Employer 4,Bridgeport Hospital Inc
Bridgeport,1997,Major Employer 5,Remington Products LLC
Bridgeport,1997,Major Employer 6,Scassi Div of Warnaco
Bridgeport,1997,Major Employer 7,Shoreline Star Greyhound Park
Bridgeport,1997,Major Employer 8,Bridgeport Health Care Center
Bridgeport,1997,Major Employer 9,Hubbell Incorporated
Bridgeport,1997,Major Employer 10,Vitramon Incorporated
Bridgewater,1997,Major Employer 1,Town of Bridgewater
Bridgewater,1997,Major Employer 2,U.S. Post Office
Bridgewater,1997,Major Employer 3,Bridgewater Village Store
Bridgewater,1997,Major Employer 4,New Milford Bank & Trust
Bridgewater,1997,Major Employer 5,New Milford Savings Bank
Bridgewater,1997,Major Employer 6,
Bridgewater,1997,Major Employer 7,
Bridgewater,1997,Major Employer 8,
Bridgewater,1997,Major Employer 9,
Bridgewater,1997,Major Employer 10,
Bristol,1997,Major Employer 1,Bristol Hospital
Bristol,1997,Major Employer 2,Theis Precision
Bristol,1997,Major Employer 3,Dana Corp.
Bristol,1997,Major Employer 4,Barnes Group
Bristol,1997,Major Employer 5,Bristol Press
Bristol,1997,Major Employer 6,
Bristol,1997,Major Employer 7,
Bristol,1997,Major Employer 8,
Bristol,1997,Major Employer 9,
Bristol,1997,Major Employer 10,
Brookfield,1997,Major Employer 1,"Datahr Rehab. Institute, Inc."
Brookfield,1997,Major Employer 2,"Photronic Laboratories, Inc."
Brookfield,1997,Major Employer 3,"Rapid Power Technologies, Inc."
Brookfield,1997,Major Employer 4,"Wentworth Laboratories, Inc."
Brookfield,1997,Major Employer 5,Town of Brookfield
Brookfield,1997,Major Employer 6,
Brookfield,1997,Major Employer 7,
Brookfield,1997,Major Employer 8,
Brookfield,1997,Major Employer 9,
Brookfield,1997,Major Employer 10,
Brooklyn,1997,Major Employer 1,Department of Corrections
Brooklyn,1997,Major Employer 2,Brooklyn Public School System
Brooklyn,1997,Major Employer 3,Pierce Memorial Baptist Home
Brooklyn,1997,Major Employer 4,Hank's Restaurant
Brooklyn,1997,Major Employer 5,The Racine Company
Brooklyn,1997,Major Employer 6,
Brooklyn,1997,Major Employer 7,
Brooklyn,1997,Major Employer 8,
Brooklyn,1997,Major Employer 9,
Brooklyn,1997,Major Employer 10,
Burlington,1997,Major Employer 1,Regional School District #10
Burlington,1997,Major Employer 2,Crescent Manufacturing
Burlington,1997,Major Employer 3,Energy Saving Products Inc.
Burlington,1997,Major Employer 4,State of Connecticut
Burlington,1997,Major Employer 5,Cassille's Restaurant
Burlington,1997,Major Employer 6,
Burlington,1997,Major Employer 7,
Burlington,1997,Major Employer 8,
Burlington,1997,Major Employer 9,
Burlington,1997,Major Employer 10,
Canaan,1997,Major Employer 1,Regional School District #1
Canaan,1997,Major Employer 2,Tele-Monitor Co. Inc.
Canaan,1997,Major Employer 3,Housatonic Valley Regional H.S.
Canaan,1997,Major Employer 4,McDonalds
Canaan,1997,Major Employer 5,Lee H. Kellogg Elementary Sch.
Canaan,1997,Major Employer 6,
Canaan,1997,Major Employer 7,
Canaan,1997,Major Employer 8,
Canaan,1997,Major Employer 9,
Canaan,1997,Major Employer 10,
Canterbury,1997,Major Employer 1,Canterbury Public Sch. System
Canterbury,1997,Major Employer 2,Town of Canterbury
Canterbury,1997,Major Employer 3,Better Val-U Supermarket
Canterbury,1997,Major Employer 4,"Yaworski Trucking, Inc."
Canterbury,1997,Major Employer 5,Wright's Mill Tree Farm
Canterbury,1997,Major Employer 6,
Canterbury,1997,Major Employer 7,
Canterbury,1997,Major Employer 8,
Canterbury,1997,Major Employer 9,
Canterbury,1997,Major Employer 10,
Canton,1997,Major Employer 1,Town of Canton
Canton,1997,Major Employer 2,Cherry Brook Health Center
Canton,1997,Major Employer 3,Inertia Dynamics
Canton,1997,Major Employer 4,Funny Bone Interactive
Canton,1997,Major Employer 5,Mitchell Subaru
Canton,1997,Major Employer 6,
Canton,1997,Major Employer 7,
Canton,1997,Major Employer 8,
Canton,1997,Major Employer 9,
Canton,1997,Major Employer 10,
Chaplin,1997,Major Employer 1,Workforce I
Chaplin,1997,Major Employer 2,Chaplin Provisions
Chaplin,1997,Major Employer 3,Hummingbird Sails
Chaplin,1997,Major Employer 4,Garrison Sand and Gravel
Chaplin,1997,Major Employer 5,Hite Automotive
Chaplin,1997,Major Employer 6,
Chaplin,1997,Major Employer 7,
Chaplin,1997,Major Employer 8,
Chaplin,1997,Major Employer 9,
Chaplin,1997,Major Employer 10,
Cheshire,1997,Major Employer 1,State of CT Dep. of Corrections
Cheshire,1997,Major Employer 2,Town of Cheshire
Cheshire,1997,Major Employer 3,Pratt & Whitney Eagle Services
Cheshire,1997,Major Employer 4,VDO Control Systems
Cheshire,1997,Major Employer 5,Bozzuto's Inc.
Cheshire,1997,Major Employer 6,
Cheshire,1997,Major Employer 7,
Cheshire,1997,Major Employer 8,
Cheshire,1997,Major Employer 9,
Cheshire,1997,Major Employer 10,
Chester,1997,Major Employer 1,Whelen Engineering
Chester,1997,Major Employer 2,Greenwald Industries
Chester,1997,Major Employer 3,Town of Chester
Chester,1997,Major Employer 4,Roto-Frank
Chester,1997,Major Employer 5,GBR Systems
Chester,1997,Major Employer 6,
Chester,1997,Major Employer 7,
Chester,1997,Major Employer 8,
Chester,1997,Major Employer 9,
Chester,1997,Major Employer 10,
Clinton,1997,Major Employer 1,Clinton Crossing Premium Outlet
Clinton,1997,Major Employer 2,Chesebrough Ponds
Clinton,1997,Major Employer 3,Stanley Bostitch
Clinton,1997,Major Employer 4,Clinton Nurseries
Clinton,1997,Major Employer 5,Super Stop & Shop
Clinton,1997,Major Employer 6,
Clinton,1997,Major Employer 7,
Clinton,1997,Major Employer 8,
Clinton,1997,Major Employer 9,
Clinton,1997,Major Employer 10,
Colchester,1997,Major Employer 1,S & S Worldwide
Colchester,1997,Major Employer 2,Stop & Shop
Colchester,1997,Major Employer 3,Alpha Q
Colchester,1997,Major Employer 4,Tri-Town Foods Inc.
Colchester,1997,Major Employer 5,Town of Colchester
Colchester,1997,Major Employer 6,
Colchester,1997,Major Employer 7,
Colchester,1997,Major Employer 8,
Colchester,1997,Major Employer 9,
Colchester,1997,Major Employer 10,
Colebrook,1997,Major Employer 1,Colebrook Town Hall
Colebrook,1997,Major Employer 2,Colebrook Public Sch. System
Colebrook,1997,Major Employer 3,Colebrook General Store
Colebrook,1997,Major Employer 4,Camp Jewell
Colebrook,1997,Major Employer 5,Northwest Auto Sales LLC
Colebrook,1997,Major Employer 6,
Colebrook,1997,Major Employer 7,
Colebrook,1997,Major Employer 8,
Colebrook,1997,Major Employer 9,
Colebrook,1997,Major Employer 10,
Columbia,1997,Major Employer 1,Columbia Manufacturing
Columbia,1997,Major Employer 2,Columbia Ford
Columbia,1997,Major Employer 3,Horace Porter School
Columbia,1997,Major Employer 4,Eastconn
Columbia,1997,Major Employer 5,United Services
Columbia,1997,Major Employer 6,
Columbia,1997,Major Employer 7,
Columbia,1997,Major Employer 8,
Columbia,1997,Major Employer 9,
Columbia,1997,Major Employer 10,
Cornwall,1997,Major Employer 1,Northwest Lumber
Cornwall,1997,Major Employer 2,Bairds General Store
Cornwall,1997,Major Employer 3,Mohawk Ski Area
Cornwall,1997,Major Employer 4,Ian Ingersoll
Cornwall,1997,Major Employer 5,Town of Cornwall
Cornwall,1997,Major Employer 6,
Cornwall,1997,Major Employer 7,
Cornwall,1997,Major Employer 8,
Cornwall,1997,Major Employer 9,
Cornwall,1997,Major Employer 10,
Coventry,1997,Major Employer 1,Sabrina Pools
Coventry,1997,Major Employer 2,Highland Park Market
Coventry,1997,Major Employer 3,Genzyme Surgical Products
Coventry,1997,Major Employer 4,Pelletier Builders
Coventry,1997,Major Employer 5,Town of Coventry
Coventry,1997,Major Employer 6,
Coventry,1997,Major Employer 7,
Coventry,1997,Major Employer 8,
Coventry,1997,Major Employer 9,
Coventry,1997,Major Employer 10,
Cromwell,1997,Major Employer 1,Cromwell Board of Education
Cromwell,1997,Major Employer 2,Radisson Hotel
Cromwell,1997,Major Employer 3,Covenant Village
Cromwell,1997,Major Employer 4,Town of Cromwell
Cromwell,1997,Major Employer 5,Holiday Inn
Cromwell,1997,Major Employer 6,
Cromwell,1997,Major Employer 7,
Cromwell,1997,Major Employer 8,
Cromwell,1997,Major Employer 9,
Cromwell,1997,Major Employer 10,
Danbury,1997,Major Employer 1,Danbury Hospital
Danbury,1997,Major Employer 2,Cendant Mobility
Danbury,1997,Major Employer 3,G.E. Capitol
Danbury,1997,Major Employer 4,Union Carbide
Danbury,1997,Major Employer 5,Grolier
Danbury,1997,Major Employer 6,
Danbury,1997,Major Employer 7,
Danbury,1997,Major Employer 8,
Danbury,1997,Major Employer 9,
Danbury,1997,Major Employer 10,
Darien,1997,Major Employer 1,Air Express International Corp.
Darien,1997,Major Employer 2,Brink's Inc.
Darien,1997,Major Employer 3,Labatt USA Inc.
Darien,1997,Major Employer 4,Nawas Int'l Travel Service Inc.
Darien,1997,Major Employer 5,Longer Life Products Inc.
Darien,1997,Major Employer 6,
Darien,1997,Major Employer 7,
Darien,1997,Major Employer 8,
Darien,1997,Major Employer 9,
Darien,1997,Major Employer 10,
Deep River,1997,Major Employer 1,Silgan
Deep River,1997,Major Employer 2,Champion Manufacturing
Deep River,1997,Major Employer 3,Business and Labor Resources
Deep River,1997,Major Employer 4,Shannon Printing
Deep River,1997,Major Employer 5,Earth Products
Deep River,1997,Major Employer 6,
Deep River,1997,Major Employer 7,
Deep River,1997,Major Employer 8,
Deep River,1997,Major Employer 9,
Deep River,1997,Major Employer 10,
Derby,1997,Major Employer 1,Griffin Hospital Inc
Derby,1997,Major Employer 2,Lifetouch National Studios
Derby,1997,Major Employer 3,"Derby Cellular Products, Inc"
Derby,1997,Major Employer 4,Manufacturer Rubber Products
Derby,1997,Major Employer 5,City Of Derby
Derby,1997,Major Employer 6,Caldor
Derby,1997,Major Employer 7,Derby Nursing Center
Derby,1997,Major Employer 8,Kmart
Derby,1997,Major Employer 9,W.E. Bassett Co.
Derby,1997,Major Employer 10,Carlon Products Co.
Durham,1997,Major Employer 1,Durham Manufacturing
Durham,1997,Major Employer 2,Lake Grove at Durham
Durham,1997,Major Employer 3,Parsons
Durham,1997,Major Employer 4,Regional School District #13
Durham,1997,Major Employer 5,Town of Durham
Durham,1997,Major Employer 6,
Durham,1997,Major Employer 7,
Durham,1997,Major Employer 8,
Durham,1997,Major Employer 9,
Durham,1997,Major Employer 10,
East Granby,1997,Major Employer 1,Rockbestos-Surprenant
East Granby,1997,Major Employer 2,Galasso Materials
East Granby,1997,Major Employer 3,"Roncari Development, Inc."
East Granby,1997,Major Employer 4,BAX Global
East Granby,1997,Major Employer 5,Hoover Precision Products
East Granby,1997,Major Employer 6,
East Granby,1997,Major Employer 7,
East Granby,1997,Major Employer 8,
East Granby,1997,Major Employer 9,
East Granby,1997,Major Employer 10,
East Haddam,1997,Major Employer 1,Chestelm
East Haddam,1997,Major Employer 2,Town of East Haddam
East Haddam,1997,Major Employer 3,Tri-Town
East Haddam,1997,Major Employer 4,Brownell and Co.
East Haddam,1997,Major Employer 5,Go Fly a Kite
East Haddam,1997,Major Employer 6,
East Haddam,1997,Major Employer 7,
East Haddam,1997,Major Employer 8,
East Haddam,1997,Major Employer 9,
East Haddam,1997,Major Employer 10,
East Hampton,1997,Major Employer 1,Colonial IGA Market
East Hampton,1997,Major Employer 2,Cobalt Health and Rehab Center
East Hampton,1997,Major Employer 3,CT Yankee Atomic Power
East Hampton,1997,Major Employer 4,East Hampton High School
East Hampton,1997,Major Employer 5,American Distilling & Mfg. Co.
East Hampton,1997,Major Employer 6,
East Hampton,1997,Major Employer 7,
East Hampton,1997,Major Employer 8,
East Hampton,1997,Major Employer 9,
East Hampton,1997,Major Employer 10,
East Hartford,1997,Major Employer 1,AirTouch Paging
East Hartford,1997,Major Employer 2,Pratt & Whitney
East Hartford,1997,Major Employer 3,United Tech. Research Center
East Hartford,1997,Major Employer 4,Cellu Tissue
East Hartford,1997,Major Employer 5,BKM Realty Company
East Hartford,1997,Major Employer 6,
East Hartford,1997,Major Employer 7,
East Hartford,1997,Major Employer 8,
East Hartford,1997,Major Employer 9,
East Hartford,1997,Major Employer 10,
East Haven,1997,Major Employer 1,Laurel Woods
East Haven,1997,Major Employer 2,Super Stop & Shop
East Haven,1997,Major Employer 3,Big Kmart
East Haven,1997,Major Employer 4,New Haven Moving Equipment
East Haven,1997,Major Employer 5,Talmadge Park Health Care
East Haven,1997,Major Employer 6,Mathog & Moniello
East Haven,1997,Major Employer 7,Thermatool
East Haven,1997,Major Employer 8,U.S. Coast Guard
East Haven,1997,Major Employer 9,Edal Industries
East Haven,1997,Major Employer 10,East Haven Town & Schools
East Lyme,1997,Major Employer 1,Town of East Lyme
East Lyme,1997,Major Employer 2,Gates Correctional Institution
East Lyme,1997,Major Employer 3,York Correctional Institute
East Lyme,1997,Major Employer 4,East Lyme High School
East Lyme,1997,Major Employer 5,"Ozone Industries, Inc."
East Lyme,1997,Major Employer 6,
East Lyme,1997,Major Employer 7,
East Lyme,1997,Major Employer 8,
East Lyme,1997,Major Employer 9,
East Lyme,1997,Major Employer 10,
East Windsor,1997,Major Employer 1,Hamilton Standard
East Windsor,1997,Major Employer 2,Englehard Surface Technologies
East Windsor,1997,Major Employer 3,Viking Office Products Supply
East Windsor,1997,Major Employer 4,Wood Group Aero
East Windsor,1997,Major Employer 5,Mulnite Farms
East Windsor,1997,Major Employer 6,
East Windsor,1997,Major Employer 7,
East Windsor,1997,Major Employer 8,
East Windsor,1997,Major Employer 9,
East Windsor,1997,Major Employer 10,
Eastford,1997,Major Employer 1,"Whitcraft, LLC"
Eastford,1997,Major Employer 2,Kochek Company
Eastford,1997,Major Employer 3,King Trucking
Eastford,1997,Major Employer 4,Eastford Public School Sys.
Eastford,1997,Major Employer 5,Dairy Farms/Horticulture Industry
Eastford,1997,Major Employer 6,
Eastford,1997,Major Employer 7,
Eastford,1997,Major Employer 8,
Eastford,1997,Major Employer 9,
Eastford,1997,Major Employer 10,
Easton,1997,Major Employer 1,Town Hall Easton Connecticut
Easton,1997,Major Employer 2,Samuel Staples Elem. School
Easton,1997,Major Employer 3,GILBERTIES NATURAL FRAG.
Easton,1997,Major Employer 4,Connecticut Golf Club Inc
Easton,1997,Major Employer 5,Helen Keller Middle School
Easton,1997,Major Employer 6,Highway Department
Easton,1997,Major Employer 7,Joel Barlow High School
Easton,1997,Major Employer 8,Maple Row Tree Farm
Easton,1997,Major Employer 9,Restorations By Emilios Inc
Easton,1997,Major Employer 10,Aspetuck Balley Orchards
Ellington,1997,Major Employer 1,Country Pure Foods Inc
Ellington,1997,Major Employer 2,Rice Packaging Inc
Ellington,1997,Major Employer 3,Ellington High School
Ellington,1997,Major Employer 4,Windermere Elementary Sch.
Ellington,1997,Major Employer 5,Ellington Middle School
Ellington,1997,Major Employer 6,
Ellington,1997,Major Employer 7,
Ellington,1997,Major Employer 8,
Ellington,1997,Major Employer 9,
Ellington,1997,Major Employer 10,
Enfield,1997,Major Employer 1,Casual Corner Group
Enfield,1997,Major Employer 2,Phoenix Home Life
Enfield,1997,Major Employer 3,"Lego Systems, Inc."
Enfield,1997,Major Employer 4,Hallmark Cards
Enfield,1997,Major Employer 5,Super Stop & Shop
Enfield,1997,Major Employer 6,
Enfield,1997,Major Employer 7,
Enfield,1997,Major Employer 8,
Enfield,1997,Major Employer 9,
Enfield,1997,Major Employer 10,
Essex,1997,Major Employer 1,Doncasters Inc
Essex,1997,Major Employer 2,Essex Meadows Inc.
Essex,1997,Major Employer 3,"Incarnation Center, Inc."
Essex,1997,Major Employer 4,Griswold Inn
Essex,1997,Major Employer 5,Middlesex Med. Center. Shoreline
Essex,1997,Major Employer 6,
Essex,1997,Major Employer 7,
Essex,1997,Major Employer 8,
Essex,1997,Major Employer 9,
Essex,1997,Major Employer 10,
Fairfield,1997,Major Employer 1,General Electric
Fairfield,1997,Major Employer 2,Fairfield University
Fairfield,1997,Major Employer 3,Sacred Heart University
Fairfield,1997,Major Employer 4,Fairfield Town & Schools
Fairfield,1997,Major Employer 5,HEIM/INCOM International
Fairfield,1997,Major Employer 6,Handy and Harman
Fairfield,1997,Major Employer 7,Carolton Chronic Convalescent Home
Fairfield,1997,Major Employer 8,BJs Wholesale Club 31
Fairfield,1997,Major Employer 9,Cambridge Manor
Fairfield,1997,Major Employer 10,RC Bigelow Tea Inc
Farmington,1997,Major Employer 1,UCONN Health Center
Farmington,1997,Major Employer 2,UTC
Farmington,1997,Major Employer 3,American Red Cross
Farmington,1997,Major Employer 4,CT Spring & Stamping
Farmington,1997,Major Employer 5,"Heublein, Inc."
Farmington,1997,Major Employer 6,
Farmington,1997,Major Employer 7,
Farmington,1997,Major Employer 8,
Farmington,1997,Major Employer 9,
Farmington,1997,Major Employer 10,
Franklin,1997,Major Employer 1,Franklin Mushroom Farm
Franklin,1997,Major Employer 2,Plant Group
Franklin,1997,Major Employer 3,K & L Seed
Franklin,1997,Major Employer 4,USA Waste Services Inc.
Franklin,1997,Major Employer 5,Kahn Tractor and Equipment
Franklin,1997,Major Employer 6,
Franklin,1997,Major Employer 7,
Franklin,1997,Major Employer 8,
Franklin,1997,Major Employer 9,
Franklin,1997,Major Employer 10,
Glastonbury,1997,Major Employer 1,Town of Glastonbury
Glastonbury,1997,Major Employer 2,ICON/Office Solutions
Glastonbury,1997,Major Employer 3,Amica Insurance
Glastonbury,1997,Major Employer 4,Arbor Acres Farm
Glastonbury,1997,Major Employer 5,Aetna Insurance
Glastonbury,1997,Major Employer 6,
Glastonbury,1997,Major Employer 7,
Glastonbury,1997,Major Employer 8,
Glastonbury,1997,Major Employer 9,
Glastonbury,1997,Major Employer 10,
Goshen,1997,Major Employer 1,Commerford & Sons
Goshen,1997,Major Employer 2,Adac Technology
Goshen,1997,Major Employer 3,Fay and Wright
Goshen,1997,Major Employer 4,Day's Market
Goshen,1997,Major Employer 5,Image Net
Goshen,1997,Major Employer 6,
Goshen,1997,Major Employer 7,
Goshen,1997,Major Employer 8,
Goshen,1997,Major Employer 9,
Goshen,1997,Major Employer 10,
Granby,1997,Major Employer 1,"Imperial Nurseries, Inc."
Granby,1997,Major Employer 2,Meadow Brook Nursing Home
Granby,1997,Major Employer 3,State Line Oil
Granby,1997,Major Employer 4,Geissler's Supermarket
Granby,1997,Major Employer 5,"Steven's Chevrolet - Olds., Inc."
Granby,1997,Major Employer 6,
Granby,1997,Major Employer 7,
Granby,1997,Major Employer 8,
Granby,1997,Major Employer 9,
Granby,1997,Major Employer 10,
Greenwich,1997,Major Employer 1,Witco Corporation
Greenwich,1997,Major Employer 2,Tenneco Inc.
Greenwich,1997,Major Employer 3,World Color Press
Greenwich,1997,Major Employer 4,Chesebrough-Ponds Int'l Inc.
Greenwich,1997,Major Employer 5,Fortune Brands Inc.
Greenwich,1997,Major Employer 6,
Greenwich,1997,Major Employer 7,
Greenwich,1997,Major Employer 8,
Greenwich,1997,Major Employer 9,
Greenwich,1997,Major Employer 10,
Griswold,1997,Major Employer 1,Griswold Public Schools
Griswold,1997,Major Employer 2,Town of Griswold
Griswold,1997,Major Employer 3,Ames Department Store
Griswold,1997,Major Employer 4,Jewett City Fire Department
Griswold,1997,Major Employer 5,The A D Tripp Company
Griswold,1997,Major Employer 6,
Griswold,1997,Major Employer 7,
Griswold,1997,Major Employer 8,
Griswold,1997,Major Employer 9,
Griswold,1997,Major Employer 10,
Groton,1997,Major Employer 1,Pfizer Pharmaceuticals
Groton,1997,Major Employer 2,General Dynamic Electric Boat
Groton,1997,Major Employer 3,U.S. Navy Submarine Base
Groton,1997,Major Employer 4,Town of Groton
Groton,1997,Major Employer 5,Wyman-Gordon Invest. Castings
Groton,1997,Major Employer 6,
Groton,1997,Major Employer 7,
Groton,1997,Major Employer 8,
Groton,1997,Major Employer 9,
Groton,1997,Major Employer 10,
Guilford,1997,Major Employer 1,Oce Imaging
Guilford,1997,Major Employer 2,"Shaw Supermarkets, Inc."
Guilford,1997,Major Employer 3,Moroso Performance Products
Guilford,1997,Major Employer 4,Apple Health Care Inc.
Guilford,1997,Major Employer 5,The C.R. Gibson Company
Guilford,1997,Major Employer 6,Bradlees
Guilford,1997,Major Employer 7,Guilford Gravure
Guilford,1997,Major Employer 8,Shore Line Newspapers
Guilford,1997,Major Employer 9,Algoquin Industries
Guilford,1997,Major Employer 10,Town of Guilford
Haddam,1997,Major Employer 1,CT Yankee Atomic Power Co.
Haddam,1997,Major Employer 2,Rossi Corp.
Haddam,1997,Major Employer 3,JC Wire Products
Haddam,1997,Major Employer 4,Regional School District #17
Haddam,1997,Major Employer 5,Town of Haddam
Haddam,1997,Major Employer 6,
Haddam,1997,Major Employer 7,
Haddam,1997,Major Employer 8,
Haddam,1997,Major Employer 9,
Haddam,1997,Major Employer 10,
Hamden,1997,Major Employer 1,Quinnipiac College
Hamden,1997,Major Employer 2,Harborside Health Care
Hamden,1997,Major Employer 3,Caldor
